Šarišsky;Slovensky
a;zbadať, údiv,
a bač;tak pochopil
a abo;ta ale,
a bač;tak pozri
a bačic;zbadať, uvidieť,
a bačiš;tak vidiš,
a bapka;a babka
a basokańoš;ja tvoju dušu,
a basom;a ja ti ukážem,
a basorkańoš;dušu ti naháňam,
a basta;koniec
a čom;tak prečo
a čomu;a prečo
a i ja;a tiež ja,
a i ti;a tiež ty,
a jak;tak ako
a jaki;aký,
a obačela śe;spamätala sa
a pobačel śe;spozoroval sa
a povi;vyriekne
a punktum;hotovo
a zač;no za čo ?
aa;mama detský
aabo;a ale
aaja;a aj ja
aba;ale ba
ababa;a babka
abačic;precitať,
abces;vred
abces;podpätok
abcesik;vredík, pupaček
abcibilder;obrázok sťahovací
abdikovac;abdikovať
abdikovac;vzdať sa moci
abdikovac;vzdať sa trńu
abdikovac;vzdať sa miesta
abdikovac;vzdať sa trónu
abdikuja;abdikujú
abecadlo;nemá význam
abeceda;vtipné spojenie
abedi jere;pozdravenie,
abedy jere;pozdrav
abĺigacija;obligácia
abnormalni;nenormálny
abnormalni;neprirodzeny
abnormalný;blaznivý
abnormalny;priveľký
abo;alebo
abo hej;alebo áno,
abo ńe;alebo nie,
abohej;alebo áno
aboňe;alebo nie
abort;záchod
aboto;alebo, buď,
abraka-dabra;pozri popis
abrichter;stroj
abrichterik;hobľovačka mel.
abrihtovac;obsluhovať
abrihtung;výcvik
abrum;tučibomba
absec;vysoký podpätok
absorbovaňe;absorbovanie
absorbuja;absorbujú
abzac;opätok
ach;povzdych, dôvtip,
adaptovac;adaptovať
adaptovac;prispôsobiť
adaptovac;upraviť sa
adaptovac;upravovať sa
adaptovac;prispôsobovať sa
adaptuja še;adaptujú sa
adoptovac;adoptovať
adoptuja;adoptujú
adzimka;lokša
adzimki;druh jedla,
aeperjes;jahoda/prešov
afinito;koniec
afšus;podradná kvalita
agac;strom agát,
agacina;kvet agátu
agacinaa;agátové drevo, háj,
agitovac;agitovať
agitovac;získavať verejnosť
agitovac;získavať podporu
agituja;agitujú
agitujce;agitujte
agngelpana;modlitba
agnušček;prívesok
agnuśček;prívesok
agnušek;medailonik
agnušoček;privesík, medailonik
agregat;motor
agrešivni;agresívny
agreśivnosc;agresivita
aha;pozri
aha ni;pozri
ahany;pozri tu,pozri sa
ahej;všakže, že
ahejže;však áno
